state;action_reward;n_state
9861&0|1115&0|550&0|18062&0|6279&0|7229&0|6136&0|15098&1|10347&0|20185&0;15098&0|20047&1|17474&0;9861&0|1115&0|550&0|18062&0|6279&0|7229&0|6136&0|15098&1|10347&0|20185&0|15098&0|20047&1|17474&0
11484&0|4546&0|8422&1|15661&0|8052&0|14047&1|12507&0|16871&0|8718&0|11945&1;19959&0|17645&1|5703&0;11484&0|4546&0|8422&1|15661&0|8052&0|14047&1|12507&0|16871&0|8718&0|11945&1|19959&0|17645&1|5703&0
13187&0|9657&1|8718&1|10509&0|4447&0|18671&1|12507&1|9942&1|3417&0|13170&0;11564&1|13170&1|11564&0;13187&0|9657&1|8718&1|10509&0|4447&0|18671&1|12507&1|9942&1|3417&0|13170&0|11564&1|13170&1|11564&0
12592&0|20086&1|7168&0|18374&0|5442&0|7632&1|18402&0|1383&0|10374&0|18444&0;12768&0|12102&0|17811&0;12592&0|20086&1|7168&0|18374&0|5442&0|7632&1|18402&0|1383&0|10374&0|18444&0|12768&0|12102&0|17811&0
10364&0|7162&0|10642&0|4192&1|6779&0|9853&0|2494&0|11484&1|13163&0|10364&0;3500&1|9942&1|13709&0;10364&0|7162&0|10642&0|4192&1|6779&0|9853&0|2494&0|11484&1|13163&0|10364&0|3500&1|9942&1|13709&0
11552&1|20082&0|7614&1|371&0|16594&0|2771&1|1590&1|3946&0|14184&1|14989&1;371&1|16594&1|1590&1;11552&1|20082&0|7614&1|371&0|16594&0|2771&1|1590&1|3946&0|14184&1|14989&1|371&1|16594&1|1590&1
1420&0|18911&0|18911&1|2979&1|11055&1|18911&1|2241&1|1420&0|2979&1|14921&1;3137&1|12607&1|15207&1;1420&0|18911&0|18911&1|2979&1|11055&1|18911&1|2241&1|1420&0|2979&1|14921&1|3137&1|12607&1|15207&1
12588&0|18940&0|19895&1|18075&1|1224&0|3490&0|4017&1|19094&0|18984&0|20387&1;15581&1|8981&1|12604&1;12588&0|18940&0|19895&1|18075&1|1224&0|3490&0|4017&1|19094&0|18984&0|20387&1|15581&1|8981&1|12604&1
8068&0|13878&0|12997&0|11913&0|3822&0|12210&0|8728&0|13694&0|17729&0|4105&0;1021&1|2139&1|106&1;8068&0|13878&0|12997&0|11913&0|3822&0|12210&0|8728&0|13694&0|17729&0|4105&0|1021&1|2139&1|106&1
3112&0|8245&0|1355&0|6946&0|16799&0|4095&0|17734&0|20763&0|8769&0|8324&0;5733&0|7784&0|13176&0;3112&0|8245&0|1355&0|6946&0|16799&0|4095&0|17734&0|20763&0|8769&0|8324&0|5733&0|7784&0|13176&0
9278&0|11446&1|8981&1|4312&1|373&0|14466&1|11096&0|18732&0|11157&0|20374&1;5667&0|10662&0|11020&0;9278&0|11446&1|8981&1|4312&1|373&0|14466&1|11096&0|18732&0|11157&0|20374&1|5667&0|10662&0|11020&0
8432&0|1592&1|14707&0|1234&0|2860&0|457&0|15360&0|17793&0|12614&0|8304&1;17094&1|19571&0|13224&0;8432&0|1592&1|14707&0|1234&0|2860&0|457&0|15360&0|17793&0|12614&0|8304&1|17094&1|19571&0|13224&0
7641&1|11484&1|1284&0|5564&1|19094&1|1224&1|18984&1|19895&1|12588&1|12493&1;12604&0|12604&0|15581&1;7641&1|11484&1|1284&0|5564&1|19094&1|1224&1|18984&1|19895&1|12588&1|12493&1|12604&0|12604&0|15581&1
4485&1|889&1|20359&0|9942&1|134&1|263&1|5461&1|8566&1|7066&1|7200&1;9167&0|13729&0|19607&0;4485&1|889&1|20359&0|9942&1|134&1|263&1|5461&1|8566&1|7066&1|7200&1|9167&0|13729&0|19607&0
20295&0|13033&0|9384&1|6577&1|15763&1|15145&1|3434&0|68&1|11258&1|18263&0;9213&0|68&0|9384&0;20295&0|13033&0|9384&1|6577&1|15763&1|15145&1|3434&0|68&1|11258&1|18263&0|9213&0|68&0|9384&0
9051&0|1231&0|12230&1|2429&0|8293&0|13773&0|3611&1|9837&0|20006&1|17919&0;14583&0|1038&1|3456&0;9051&0|1231&0|12230&1|2429&0|8293&0|13773&0|3611&1|9837&0|20006&1|17919&0|14583&0|1038&1|3456&0
10642&0|4192&0|6779&0|13598&0|9853&0|7162&1|8566&0|13163&1|15216&0|6759&0;9942&0|3500&0|15732&0;10642&0|4192&0|6779&0|13598&0|9853&0|7162&1|8566&0|13163&1|15216&0|6759&0|9942&0|3500&0|15732&0
2760&0|10957&0|19453&0|19453&0|1456&1|4279&0|6456&0|10400&0|8173&0|7613&0;4279&0|6456&0|15677&1;2760&0|10957&0|19453&0|19453&0|1456&1|4279&0|6456&0|10400&0|8173&0|7613&0|4279&0|6456&0|15677&1
16988&0|1224&0|18349&0|4275&0|4952&0|9863&1|3025&0|17012&1|9640&0|17873&1;14484&1|6091&0|15418&1;16988&0|1224&0|18349&0|4275&0|4952&0|9863&1|3025&0|17012&1|9640&0|17873&1|14484&1|6091&0|15418&1
13787&0|2103&1|6600&1|1708&0|18250&1|860&1|3530&1|62&1|2874&1|11524&1;18250&1|3530&1|6600&1;13787&0|2103&1|6600&1|1708&0|18250&1|860&1|3530&1|62&1|2874&1|11524&1|18250&1|3530&1|6600&1
